Algorithm,Accuracy,DPD,Profit,alpha_fair,threshold
Optuna NSGA-II,0.6707226291459504,0.012983203043084202,0.28144672873147014,0.9656320330745594,0.6233589392465844
Optuna NSGA-II,0.6742930402257125,0.05442120744419427,0.40285908593800257,0.12203823484477883,0.498070764044508
Optuna NSGA-II,0.680724681634516,0.02897525458326768,0.3557422196897985,0.7722447692966574,0.37948627261366896
Optuna NSGA-II,0.6564409848269017,0.015407492769445863,0.38861420260819224,0.8872127425763265,0.4888859700647797
Optuna NSGA-II,0.6128792125796106,0.05442806906111743,0.5200347391348301,0.9296976523425731,0.6232481518257668
Optuna NSGA-II,0.6778680464291295,0.045947472168911326,0.3850208159101562,0.8925589984899778,0.5157368967662602
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.6721532443104711,0.01651556204966335,0.28644622326786817,0.9367299887367345,0.35500837765839727
Optuna NSGA-II,0.6921405005008685,0.0761603976262251,0.47782393324204353,0.09310276780589921,0.6588863031813307
Optuna NSGA-II,0.6707226291459504,0.012983203043084202,0.28144672873147014,0.9730105547524456,0.45723908986670414
Optuna NSGA-II,0.6721532443104711,0.022833694017908208,0.3257575061344901,0.6454722959071678,0.37084427176281953
Optuna NSGA-II,0.6964246874550061,0.06774536397841244,0.43212083337162605,0.015456616528867428,0.6713274250350901
Optuna NSGA-II,0.7057037738218869,0.07000252492390462,0.3878207779238006,0.2944488920695857,0.4540390914407701
Optuna NSGA-II,0.7114170442326603,0.07433520414836044,0.38281209314009307,0.35949115121975517,0.4174367377057973
Optuna NSGA-II,0.7007272549037628,0.05908284877178402,0.37216825504774337,0.5113423988609378,0.5006065178748798
Optuna NSGA-II,0.6671537497740733,0.024272083567035547,0.33498757784905325,0.8900053418175663,0.4351980627406143
Optuna NSGA-II,0.6807292767581709,0.04973568127869304,0.3915275110053211,0.6228904758190003,0.3341389859975072
Optuna NSGA-II,0.6707226291459504,0.012983203043084202,0.28144672873147014,0.9758520794625346,0.5073318609454947
Optuna NSGA-II,0.6764404946803785,0.026683400104388705,0.35139676442026385,0.8900053418175663,0.4351980627406143
Optuna NSGA-II,0.6721532443104711,0.01513374067749281,0.2828773438959909,0.9656320330745594,0.32961786069363613
Optuna NSGA-II,0.6921558175797178,0.036264938365925294,0.35645905897994384,0.7121792213475359,0.39489963499872
Optuna NSGA-II,0.6421516819684284,0.05875784508767737,0.47789132838898024,0.15643704267108605,0.5170578538830306
